"date","muniYield1Y","muniYield2Y","muniYield5Y","muniYield10Y","muniYield30Y","treasuryYield3M","treasuryYield6M","treasuryYield1Y","treasuryYield2Y","treasuryYield5Y","treasuryYield10Y","treasuryYield30Y"
2017-12-21,1.35,1.56,1.75,2.13,2.75,1.34,1.53,1.71,1.88,2.24,2.48,2.84
2017-12-22,1.35,1.56,1.74,2.11,2.74,1.32,1.53,1.71,1.89,2.25,2.48,2.83
2017-12-26,1.35,1.56,1.73,2.09,2.71,1.32,1.52,1.72,1.9,2.24,2.47,2.82
2017-12-27,1.38,1.57,1.72,2.05,2.65,1.43,1.52,1.71,1.89,2.19,2.41,2.75
2017-12-28,1.43,1.56,1.71,2.02,2.62,1.38,1.52,1.73,1.9,2.23,2.43,2.75
2017-12-29,1.44,1.56,1.7,2.01,2.62,1.38,1.53,1.73,1.88,2.21,2.41,2.74
2018-01-02,1.44,1.56,1.71,2.02,2.62,1.39,1.56,1.78,1.92,2.24,2.46,2.81
2018-01-03,1.44,1.56,1.7,2.01,2.61,1.39,1.58,1.8,1.93,2.24,2.44,2.78
2018-01-04,1.45,1.56,1.71,2.02,2.63,1.4,1.58,1.8,1.95,2.26,2.45,2.78
2018-01-05,1.45,1.57,1.71,2.03,2.65,1.4,1.58,1.79,1.96,2.28,2.47,2.8
2018-01-08,1.45,1.57,1.71,2.03,2.65,1.41,1.57,1.78,1.96,2.29,2.48,2.81
2018-01-09,1.46,1.57,1.73,2.06,2.7,1.43,1.59,1.78,1.97,2.33,2.55,2.89
2018-01-10,1.47,1.59,1.75,2.12,2.78,1.42,1.58,1.77,1.97,2.33,2.55,2.89
2018-01-11,1.47,1.59,1.75,2.12,2.78,1.43,1.58,1.76,1.98,2.32,2.53,2.87
2018-01-12,1.47,1.59,1.75,2.13,2.79,1.44,1.59,1.77,2,2.35,2.55,2.85
2018-01-16,1.47,1.59,1.74,2.13,2.77,1.42,1.59,1.78,2.01,2.35,2.54,2.83
2018-01-18,1.47,1.59,1.75,2.14,2.79,1.42,1.62,1.76,2.04,2.41,2.61,2.89
2018-01-19,1.46,1.58,1.73,2.15,2.8,1.43,1.62,1.77,2.06,2.45,2.66,2.93
2018-01-22,1.44,1.57,1.74,2.16,2.8,1.42,1.62,1.77,2.06,2.45,2.65,2.91
2018-01-23,1.44,1.55,1.73,2.17,2.8,1.43,1.63,1.75,2.04,2.41,2.61,2.89
2018-01-24,1.44,1.56,1.75,2.21,2.84,1.43,1.63,1.76,2.08,2.44,2.65,2.93
2018-01-25,1.44,1.56,1.75,2.21,2.84,1.42,1.63,1.77,2.08,2.42,2.62,2.88
2018-01-26,1.42,1.54,1.75,2.23,2.86,1.41,1.63,1.78,2.12,2.47,2.66,2.91
2018-01-31,1.41,1.56,1.84,2.38,2.96,1.44,1.64,1.88,2.16,2.54,2.73,2.95
2018-02-01,1.41,1.56,1.86,2.41,2.98,1.48,1.64,1.88,2.16,2.57,2.79,3.02
2018-02-02,1.41,1.58,1.93,2.48,3.04,1.47,1.63,1.87,2.14,2.59,2.84,3.09
2018-02-05,1.41,1.58,1.94,2.48,3.04,1.48,1.61,1.83,2.04,2.46,2.73,3.02
2018-02-08,1.37,1.55,1.93,2.46,3.02,1.54,1.73,1.88,2.11,2.54,2.83,3.13
2018-02-09,1.37,1.55,1.93,2.46,3.01,1.55,1.74,1.88,2.07,2.54,2.85,3.17
2018-02-13,1.36,1.55,1.93,2.46,3.02,1.57,1.77,1.93,2.11,2.54,2.83,3.11
2018-02-14,1.36,1.56,1.95,2.49,3.06,1.58,1.8,1.96,2.17,2.64,2.91,3.17
2018-02-15,1.36,1.56,1.96,2.49,3.08,1.59,1.81,1.98,2.18,2.64,2.89,3.15
2018-02-20,1.35,1.55,1.97,2.49,3.08,1.6,1.81,1.99,2.23,2.66,2.9,3.16
2018-02-21,1.35,1.55,1.97,2.49,3.1,1.64,1.85,2,2.26,2.67,2.94,3.22
2018-02-22,1.35,1.55,1.97,2.49,3.1,1.63,1.84,2.01,2.25,2.66,2.92,3.21
2018-02-23,1.35,1.54,1.97,2.48,3.08,1.64,1.84,1.99,2.24,2.62,2.87,3.15
2018-02-28,1.38,1.57,1.99,2.49,3.1,1.65,1.85,2.06,2.25,2.64,2.86,3.12
2018-03-01,1.38,1.55,1.96,2.47,3.07,1.61,1.83,2.03,2.21,2.58,2.81,3.09
2018-03-02,1.38,1.56,1.97,2.48,3.08,1.64,1.83,2.04,2.24,2.63,2.86,3.14
2018-03-05,1.38,1.56,1.98,2.49,3.1,1.66,1.84,2.05,2.24,2.65,2.88,3.15
2018-03-13,1.44,1.58,2.01,2.52,3.12,1.71,1.9,2.02,2.25,2.61,2.84,3.1
2018-03-14,1.45,1.58,2.01,2.52,3.11,1.75,1.94,2.03,2.26,2.61,2.82,3.06
2018-03-15,1.45,1.58,2.01,2.51,3.09,1.76,1.94,2.04,2.28,2.62,2.83,3.06
2018-03-19,1.45,1.59,2.01,2.51,3.09,1.76,1.95,2.06,2.31,2.65,2.86,3.09
2018-03-20,1.46,1.6,2.03,2.52,3.1,1.79,1.96,2.06,2.34,2.69,2.89,3.12
2018-03-21,1.52,1.65,2.08,2.56,3.12,1.74,1.93,2.04,2.3,2.67,2.88,3.11
2018-03-22,1.51,1.65,2.07,2.53,3.08,1.71,1.92,2.03,2.28,2.62,2.83,3.06
2018-03-26,1.54,1.68,2.08,2.53,3.06,1.74,1.91,2.03,2.27,2.64,2.85,3.08
2018-03-27,1.55,1.68,2.08,2.52,3.05,1.74,1.93,2.03,2.27,2.58,2.78,3.03
2018-03-28,1.54,1.67,2.07,2.48,3.02,1.72,1.92,2.1,2.28,2.59,2.78,3.01
2018-03-29,1.55,1.68,2.07,2.48,3.01,1.7,1.91,2.08,2.27,2.56,2.74,2.97
2018-04-02,1.55,1.68,2.06,2.47,3.01,1.72,1.91,2.07,2.25,2.55,2.74,2.98
2018-04-03,1.57,1.69,2.07,2.46,3.02,1.74,1.92,2.07,2.28,2.6,2.78,3.01
2018-04-04,1.6,1.71,2.08,2.46,3.01,1.7,1.9,2.06,2.29,2.62,2.8,3.04
2018-04-05,1.61,1.72,2.1,2.48,3.03,1.71,1.91,2.07,2.3,2.64,2.83,3.07
2018-04-06,1.62,1.73,2.1,2.46,3.01,1.71,1.89,2.05,2.27,2.59,2.77,3.02
2018-04-10,1.65,1.76,2.12,2.46,3.01,1.72,1.92,2.06,2.31,2.62,2.8,3.02
2018-04-11,1.65,1.75,2.09,2.42,2.98,1.71,1.9,2.06,2.3,2.61,2.77,2.99
2018-04-12,1.66,1.76,2.1,2.43,2.99,1.74,1.94,2.09,2.35,2.67,2.84,3.04
2018-04-13,1.66,1.76,2.1,2.42,2.99,1.75,1.95,2.09,2.36,2.67,2.82,3.03
2018-04-16,1.67,1.77,2.1,2.43,3,1.74,1.96,2.1,2.38,2.68,2.83,3.03
2018-04-17,1.68,1.78,2.11,2.43,3,1.78,1.99,2.13,2.39,2.68,2.82,3.01
2018-04-18,1.69,1.79,2.11,2.44,3,1.81,2,2.15,2.43,2.73,2.87,3.06
2018-04-23,1.72,1.82,2.15,2.49,3.09,1.82,2.01,2.21,2.48,2.82,2.98,3.14
2018-04-24,1.73,1.83,2.17,2.51,3.11,1.85,2.03,2.21,2.47,2.82,2.99,3.17
2018-04-25,1.76,1.86,2.2,2.55,3.18,1.85,2.02,2.25,2.48,2.83,3.02,3.21
2018-04-27,1.76,1.87,2.21,2.54,3.16,1.8,2.01,2.23,2.48,2.8,2.96,3.13
2018-04-30,1.76,1.87,2.2,2.53,3.15,1.79,2.01,2.23,2.48,2.79,2.95,3.12
2018-05-01,1.77,1.87,2.2,2.53,3.15,1.83,2.03,2.24,2.51,2.82,2.97,3.13
2018-05-02,1.77,1.87,2.19,2.52,3.13,1.82,2.02,2.24,2.49,2.8,2.97,3.15
2018-05-03,1.76,1.86,2.17,2.48,3.08,1.82,2.02,2.22,2.48,2.78,2.95,3.12
2018-05-04,1.76,1.86,2.15,2.46,3.05,1.83,2.02,2.23,2.5,2.78,2.94,3.12
2018-05-07,1.76,1.86,2.14,2.45,3.05,1.83,2.03,2.24,2.49,2.79,2.95,3.12
2018-05-08,1.76,1.85,2.11,2.44,3.04,1.85,2.01,2.24,2.52,2.82,2.98,3.14
2018-05-09,1.76,1.85,2.11,2.44,3.06,1.88,2.05,2.25,2.53,2.84,3,3.16
2018-05-10,1.76,1.85,2.1,2.44,3.05,1.89,2.04,2.25,2.53,2.83,2.96,3.11
2018-05-11,1.76,1.85,2.09,2.43,3.03,1.9,2.04,2.25,2.53,2.84,2.97,3.1
2018-05-15,1.77,1.86,2.12,2.49,3.09,1.9,2.08,2.27,2.57,2.91,3.07,3.19
2018-05-16,1.77,1.86,2.12,2.51,3.11,1.9,2.08,2.28,2.59,2.94,3.1,3.22
2018-05-17,1.77,1.86,2.13,2.54,3.13,1.89,2.08,2.28,2.57,2.94,3.12,3.25
2018-05-18,1.77,1.86,2.13,2.54,3.13,1.88,2.08,2.29,2.55,2.89,3.06,3.2
2018-05-21,1.77,1.86,2.13,2.55,3.13,1.9,2.09,2.32,2.57,2.89,3.06,3.2
2018-05-22,1.76,1.86,2.13,2.54,3.13,1.93,2.12,2.3,2.57,2.9,3.06,3.21
2018-05-23,1.74,1.84,2.11,2.52,3.09,1.91,2.1,2.28,2.53,2.83,3,3.16
